"","ID","time","depth","dt"
"354","T172062",2017-08-08 09:21:15,2.5,1.25
"355","T172062",2017-08-08 09:22:30,4.5,1.25
"356","T172062",2017-08-08 09:23:45,2.5,1.25
"357","T172062",2017-08-08 09:25:00,1,1.25
"358","T172062",2017-08-08 09:26:15,1,1.25
"359","T172062",2017-08-08 09:27:30,4.5,1.25
"360","T172062",2017-08-08 09:28:45,9,1.25
"361","T172062",2017-08-08 09:30:00,1,1.25
"362","T172062",2017-08-08 09:31:15,9,1.25
"363","T172062",2017-08-08 09:32:30,20.5,1.25
"364","T172062",2017-08-08 09:33:45,26,1.25
"365","T172062",2017-08-08 09:35:00,9,1.25
"366","T172062",2017-08-08 09:36:15,1,1.25
"367","T172062",2017-08-08 09:37:30,6.5,1.25
"368","T172062",2017-08-08 09:38:45,9,1.25
"369","T172062",2017-08-08 09:40:00,1,1.25
"370","T172062",2017-08-08 09:41:15,17,1.25
"371","T172062",2017-08-08 09:42:30,26,1.25
"372","T172062",2017-08-08 09:43:45,41.5,1.25
"373","T172062",2017-08-08 09:45:00,41.5,1.25
"374","T172062",2017-08-08 09:46:15,26,1.25
"375","T172062",2017-08-08 09:47:30,1,1.25
"376","T172062",2017-08-08 09:48:45,2.5,1.25
"377","T172062",2017-08-08 09:50:00,9,1.25
"378","T172062",2017-08-08 09:51:15,2.5,1.25
"379","T172062",2017-08-08 09:52:30,13,1.25
"380","T172062",2017-08-08 09:53:45,13,1.25
"381","T172062",2017-08-08 09:55:00,9,1.25
"382","T172062",2017-08-08 09:56:15,6.5,1.25
"383","T172062",2017-08-08 09:57:30,2.5,1.25
"384","T172062",2017-08-08 09:58:45,1,1.25
"385","T172062",2017-08-08 10:00:00,11.5,1.25
"386","T172062",2017-08-08 10:01:15,22.5,1.25
"387","T172062",2017-08-08 10:02:30,22.5,1.25
"388","T172062",2017-08-08 10:03:45,26.5,1.25
"389","T172062",2017-08-08 10:05:00,33,1.25
"390","T172062",2017-08-08 10:06:15,41,1.25
"391","T172062",2017-08-08 10:07:30,33,1.25
"392","T172062",2017-08-08 10:08:45,11.5,1.25
"393","T172062",2017-08-08 10:10:00,0.5,1.25
"394","T172062",2017-08-08 10:11:15,3.5,1.25
"395","T172062",2017-08-08 10:12:30,22.5,1.25
"396","T172062",2017-08-08 10:13:45,1.5,1.25
"397","T172062",2017-08-08 10:15:00,1.5,1.25
"398","T172062",2017-08-08 10:16:15,9.5,1.25
"399","T172062",2017-08-08 10:17:30,11.5,1.25
"400","T172062",2017-08-08 10:18:45,11.5,1.25
"401","T172062",2017-08-08 10:20:00,11.5,1.25
"402","T172062",2017-08-08 10:21:15,11.5,1.25
"403","T172062",2017-08-08 10:22:30,0.5,1.25
"404","T172062",2017-08-08 10:23:45,1.5,1.25
"405","T172062",2017-08-08 10:25:00,9.5,1.25
"406","T172062",2017-08-08 10:26:15,14.5,1.25
"407","T172062",2017-08-08 10:27:30,14.5,1.25
"408","T172062",2017-08-08 10:28:45,14.5,1.25
"409","T172062",2017-08-08 10:30:00,0.5,1.25
"410","T172062",2017-08-08 10:31:15,2.5,1.25
